,Id,Contingut,Bloc,Matèria,Necessari per,Relacionat amb
188,Q.2.5,Classificació dels elements segons la seva estructura electrònica: sistema periòdic,"Bloc 2. Origen i evolució dels components de l’univers estructura de la matèria. l’àtom, la taula periòdica i l’enllaç químic",Química,,
189,Q.2.6,"Propietats dels elements segons la seva posició en el sistema periòdic: energia d’ionització, afinitat electrònica, electronegativitat, radi atòmic","Bloc 2. Origen i evolució dels components de l’univers estructura de la matèria. l’àtom, la taula periòdica i l’enllaç químic",Química,,
190,Q.2.7,Enllaç químic,"Bloc 2. Origen i evolució dels components de l’univers estructura de la matèria. l’àtom, la taula periòdica i l’enllaç químic",Química,,
191,Q.2.8,Enllaç iònic,"Bloc 2. Origen i evolució dels components de l’univers estructura de la matèria. l’àtom, la taula periòdica i l’enllaç químic",Química,,
192,Q.2.9,Propietats de les substàncies amb enllaç iònic,"Bloc 2. Origen i evolució dels components de l’univers estructura de la matèria. l’àtom, la taula periòdica i l’enllaç químic",Química,,
193,Q.2.10,Enllaç covalent. Geometria i polaritat de les molècules,"Bloc 2. Origen i evolució dels components de l’univers estructura de la matèria. l’àtom, la taula periòdica i l’enllaç químic",Química,,
194,Q.2.11,Teoria de l’enllaç de valència (TEV) i hibridació,"Bloc 2. Origen i evolució dels components de l’univers estructura de la matèria. l’àtom, la taula periòdica i l’enllaç químic",Química,,
195,Q.2.12,Teoria de repulsió de parells electrònics de la capa de valència (TRPECV),"Bloc 2. Origen i evolució dels components de l’univers estructura de la matèria. l’àtom, la taula periòdica i l’enllaç químic",Química,,
196,Q.2.13,Propietats de les substàncies amb enllaç covalent,"Bloc 2. Origen i evolució dels components de l’univers estructura de la matèria. l’àtom, la taula periòdica i l’enllaç químic",Química,,
197,Q.2.14,Enllaç metàl·lic,"Bloc 2. Origen i evolució dels components de l’univers estructura de la matèria. l’àtom, la taula periòdica i l’enllaç químic",Química,,
198,Q.2.15,Model del gas electrònic i teoria de bandes,"Bloc 2. Origen i evolució dels components de l’univers estructura de la matèria. l’àtom, la taula periòdica i l’enllaç químic",Química,,
199,Q.2.16,Propietats dels metalls. Aplicacions de superconductors i semiconductors,"Bloc 2. Origen i evolució dels components de l’univers estructura de la matèria. l’àtom, la taula periòdica i l’enllaç químic",Química,,
200,Q.2.17,Enllaços presents en substàncies d’interès biològic,"Bloc 2. Origen i evolució dels components de l’univers estructura de la matèria. l’àtom, la taula periòdica i l’enllaç químic",Química,,
201,Q.2.18,Naturalesa de les forces intermoleculars,"Bloc 2. Origen i evolució dels components de l’univers estructura de la matèria. l’àtom, la taula periòdica i l’enllaç químic",Química,,
202,Q.3.1,Concepte de velocitat de reacció,Bloc 3. Reaccions químiques,Química,,
203,Q.3.2,Teoria de col·lisions,Bloc 3. Reaccions químiques,Química,,
204,Q.3.3,Factors que influeixen en la velocitat de les reaccions químiques,Bloc 3. Reaccions químiques,Química,,
205,Q.3.4,Utilització de catalitzadors en processos industrials,Bloc 3. Reaccions químiques,Química,,
206,Q.3.5,Equilibri químic. Llei d’acció de masses. La constant d’equilibri: formes d’expressar-la,Bloc 3. Reaccions químiques,Química,,
207,Q.3.6,Factors que afecten l’estat d’equilibri: principi de Le Chatelier,Bloc 3. Reaccions químiques,Química,,
208,Q.3.7,Equilibris amb gasos,Bloc 3. Reaccions químiques,Química,,
209,Q.3.8,Equilibris heterogenis: reaccions de precipitació,Bloc 3. Reaccions químiques,Química,,
210,Q.3.9,Aplicacions i importància de l’equilibri químic en processos industrials i en situacions de la vida quotidiana,Bloc 3. Reaccions químiques,Química,,
211,Q.3.10,Equilibri àcid-base,Bloc 3. Reaccions químiques,Química,,
